#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Industry,Market,Provided by GlobeFunder.com
776,Sema4,SMFR,$6.89,"$1,662.29",Technology Services,Internet Software/Services,NASDAQ,
777,The Scotts Miracle-Gro Company,SMG,$161.43,"$8,903.69",Process Industries,Chemicals: Agricultural,NYSE,
778,Snap,SNAP,$49.76,"$80,103.50",Technology Services,Internet Software/Services,NYSE,
779,Snowflake,SNOW,$362.60,"$109,106.31",Technology Services,Packaged Software,NYSE,
780,Sylvamo,SNPS,$342.16,"$52,180.32",Technology Services,Packaged Software,NASDAQ,
781,Synopsys,SNPS,$342.16,"$52,180.32",Technology Services,Packaged Software,NASDAQ,
782,Sanofi,SNY,$48.30,"$108,057.76",Health Technology,Pharmaceuticals: Major,NASDAQ,
783,Southern Company,SO,$62.04,"$65,750.18",Utilities,Electric Utilities,NYSE,
784,SoFi Technologies,SOFI,$18.21,"$14,693.95",Finance,Finance/Rental/Leasing,NASDAQ,
785,Sonos,SONO,$32.25,"$4,099.89",Electronic Technology,Electronic Production Equipment,NASDAQ,
786,Sony,SONY,$121.27,"$17,636,231.77",Consumer Durables,Electronics/Appliances,NYSE,
787,Virgin Galactic,SPCE,$16.73,"$4,316.53",Electronic Technology,Aerospace & Defense,NYSE,
788,Simon Property,SPG,$160.48,"$52,735.51",Finance,Real Estate Investment Trusts,NYSE,
789,S&P,SPGI,$454.53,"$109,541.68",Commercial Services,Financial Publishing/Services,NYSE,
790,Splunk,SPLK,$124.85,"$20,168.98",Technology Services,Information Technology Services,NASDAQ,
791,Spotify,SPOT,$250.89,"$48,097.85",Technology Services,Internet Software/Services,NYSE,
792,SunPower,SPWR,$28.47,"$4,924.97",Producer Manufacturing,Electrical Products,NASDAQ,
793,Square,SQ,$212.08,"$97,827.33",Technology Services,Information Technology Services,NYSE,
794,Chemical & Mining Co. of Chile,SQM,$64.47,"$17,026.96",Process Industries,Chemicals: Agricultural,NYSE,
795,Squarespace,SQSP,$36.00,"$4,998.03",Technology Services,Information Technology Services,NYSE,
796,Sempra Energy,SRE,$121.68,"$38,856.97",Utilities,Gas Distributors,NYSE,
797,SS&C Technologies Holdings,SSNC,$78.75,"$20,023.71",Technology Services,Information Technology Services,NASDAQ,
798,Sutter Rock Capital,SSSS,$12.60,$362.64,Finance,Investment Managers,NASDAQ,
799,Stellantis,STLA,$17.75,"$49,606.56",Consumer Durables,Motor Vehicles,NYSE,
800,Steel Dynamics,STLD,$63.51,"$12,603.64",Non-Energy Minerals,Steel,NASDAQ,
801,StoneCo,STNE,$16.34,"$5,083.94",Technology Services,Packaged Software,NASDAQ,
802,STORE Capital Corporation,STOR,$33.11,"$9,028.24",Finance,Real Estate Investment Trusts,NYSE,
803,State Street,STT,$93.35,"$34,131.26",Finance,Regional Banks,NYSE,
804,Seagate Technology,STX,$98.62,"$21,956.35",Electronic Technology,Computer Peripherals,NASDAQ,
805,Constellation Brands,STZ,$229.32,"$43,104.39",Consumer Non-Durables,Beverages: Alcoholic,NYSE,
806,Suncor Energy,SU,$24.77,"$46,363.46",Energy Minerals,Integrated Oil,NYSE,
807,Sumo Logic Inc,SUMO,$14.15,"$1,561.73",Technology Services,Packaged Software,NASDAQ,
808,Grupo Supervielle,SUPV,$1.89,"$31,875.22",Finance,Major Banks,NYSE,
809,Stanley Black & Decker,SWK,$182.73,"$29,791.06",Consumer Durables,Tools & Hardware,NYSE,
810,Skyworks Solutions,SWKS,$152.48,"$25,218.24",Electronic Technology,Semiconductors,NASDAQ,
811,Southwestern Energy,SWN,$4.96,"$5,034.29",Energy Minerals,Oil & Gas Production,NYSE,
812,Synchrony Financial,SYF,$47.68,"$26,093.31",Finance,Finance/Rental/Leasing,NYSE,
813,Stryker,SYK,$243.48,"$91,815.38",Health Technology,Medical Specialties,NYSE,
814,Sysco,SYY,$72.73,"$37,285.49",Distribution Services,Food Distributors,NYSE,
815,AT&T,T,$24.22,"$172,955.04",Communications,Major Telecommunications,NYSE,
816,Takeda Pharmaceutical,TAK,$13.53,"$42,910.18",Health Technology,Pharmaceuticals: Major,NYSE,
817,Tal Education Group,TAL,$5.11,"$3,295.02",Consumer Services,Other Consumer Services,NYSE,
818,Talkspace,TALK,$2.27,$345.74,Technology Services,Internet Software/Services,NASDAQ,
819,Trip.com,TCOM,$27.85,"$17,702.00",Consumer Services,Other Consumer Services,NASDAQ,
820,Toronto-Dominion Bank,TD,$73.95,"$172,353.82",Finance,Major Banks,NYSE,
821,Teladoc,TDOC,$109.61,"$17,547.09",Health Services,Hospital/Nursing Management,NYSE,
822,Atlassian Corporation Plc,TEAM,$391.54,"$98,962.44",Technology Services,Packaged Software,NASDAQ,
823,Teck Resources,TECK,$26.03,"$17,652.76",Non-Energy Minerals,Other Metals/Minerals,NYSE,
824,Tenable,TENB,$50.08,"$5,380.83",Technology Services,Packaged Software,NASDAQ,
825,Teradyne,TER,$146.35,"$23,855.68",Electronic Technology,Electronic Production Equipment,NASDAQ,
826,Teva Pharmaceutical Industries,TEVA,$8.49,"$9,549.65",Health Technology,Pharmaceuticals: Generic,NYSE,
827,Truist Financial Corp,TFC,$60.08,"$80,200.31",Finance,Regional Banks,NYSE,
828,Teleflex,TFX,$305.15,"$14,294.74",Health Technology,Medical Specialties,NYSE,
829,Triumph,TGI,$17.70,"$1,143.62",Electronic Technology,Aerospace & Defense,NYSE,
830,Target,TGT,$246.57,"$118,137.61",Retail Trade,Specialty Stores,NYSE,
831,UP Fintech,TIGR,$5.91,$893.68,Finance,Investment Banks/Brokers,NASDAQ,
832,TIM SA,TIMB,$12.38,"$33,718.93",Communications,Wireless Telecommunications,NYSE,
833,TJX Companies Inc,TJX,$69.36,"$83,408.11",Retail Trade,Apparel/Footwear Retail,NYSE,
834,Tilray,TLRY,$10.57,"$3,360.81",Process Industries,Agricultural Commodities/Milling,NASDAQ,
835,Toyota,TM,$179.83,"$290,669.66",Consumer Durables,Motor Vehicles,NYSE,
836,Tencent Music Entertainment Group,TME,$7.16,"$12,129.63",Technology Services,Internet Software/Services,NYSE,
837,Thermo Fisher Scientific,TMO,$638.74,"$251,694.22",Health Technology,Medical Specialties,NYSE,
838,T-Mobile,TMUS,$113.53,"$141,804.99",Communications,Wireless Telecommunications,NASDAQ,
839,TPG Pace Beneficial Finance Corp.,TPGY,$10.49,$458.94,Finance,Financial Conglomerates,NYSE,
840,TPI Composites,TPIC,$18.87,$703.45,Producer Manufacturing,Electrical Products,NASDAQ,
